time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,disaster
2024-10-09 00:30:00,23.9,22.9,94,0.3,99,11.2,1011.5,8,1
2024-10-09 01:30:00,23.5,22.8,96,1.3,122,8.3,1010.5,9,1
2024-10-09 02:30:00,23.5,23.2,98,2.1,80,9.4,1009.9,9,1
2024-10-09 03:30:00,23.3,22.6,96,4.4,94,9.0,1009.8,9,1
2024-10-09 04:30:00,23.2,22.2,94,1.4,76,8.3,1009.8,9,1
2024-10-09 05:30:00,23.1,21.9,93,0.3,71,7.6,1009.9,8,1
2024-10-09 06:30:00,23.1,21.9,93,0.0,85,8.3,1010.0,3,1
2024-10-09 07:30:00,25.9,23.9,89,0.0,103,8.3,1010.7,3,0
2024-10-09 08:30:00,27.4,23.6,80,0.0,118,10.4,1011.3,3,0
2024-10-09 09:30:00,28.6,23.3,73,0.1,135,12.6,1011.5,17,0
2024-10-09 10:30:00,30.1,23.0,66,0.0,131,11.9,1010.8,3,0
2024-10-09 11:30:00,31.3,23.7,64,0.0,114,12.2,1009.6,2,0
2024-10-09 12:30:00,31.8,23.6,62,0.0,136,8.6,1008.7,2,0
2024-10-09 13:30:00,32.1,22.8,58,0.0,86,8.6,1006.7,3,0
2024-10-09 14:30:00,31.5,22.2,58,0.4,135,17.6,1006.0,8,1
2024-10-09 15:30:00,28.4,23.5,75,0.7,168,16.6,1006.2,8,1
2024-10-09 16:30:00,28.8,23.2,72,0.0,128,14.4,1005.6,3,0
2024-10-09 17:30:00,28.2,23.3,75,0.0,112,14.8,1006.4,3,0
2024-10-09 18:30:00,26.9,23.6,82,0.6,106,9.7,1007.5,17,0
2024-10-09 19:30:00,26.2,24.1,88,0.0,84,7.2,1008.4,3,0
2024-10-09 20:30:00,25.8,24.0,90,0.1,42,4.3,1009.2,7,0
2024-10-09 21:30:00,25.1,24.1,94,0.3,304,4.7,1009.9,8,1
2024-10-09 22:30:00,24.6,23.7,95,2.3,314,10.4,1010.7,9,1
2024-10-09 23:30:00,23.7,23.4,98,0.8,329,8.3,1010.6,8,1
2024-10-10 00:30:00,23.9,22.9,94,0.3,338,6.5,1009.8,8,1
2024-10-10 01:30:00,23.5,22.8,96,0.0,15,9.4,1009.1,3,1
2024-10-10 02:30:00,23.3,22.5,95,0.0,36,6.8,1008.3,3,1
2024-10-10 03:30:00,23.6,23.1,97,0.0,3,4.3,1007.4,3,1
2024-10-10 04:30:00,23.3,23.0,98,0.0,23,5.0,1007.4,3,1
2024-10-10 05:30:00,22.9,22.6,98,0.0,328,3.2,1008.0,3,1
2024-10-10 06:30:00,23.4,22.9,97,0.0,314,6.1,1008.6,3,1
2024-10-10 07:30:00,24.6,23.6,94,0.0,305,5.4,1009.4,3,1
2024-10-10 08:30:00,26.6,23.1,81,0.0,305,8.3,1010.2,3,0
2024-10-10 09:30:00,28.2,22.9,73,0.0,326,7.6,1010.0,3,0
2024-10-10 10:30:00,29.5,23.5,70,0.0,312,7.9,1009.7,3,0
2024-10-10 11:30:00,30.4,23.3,66,0.1,341,6.1,1008.9,7,0
2024-10-10 12:30:00,31.1,23.0,62,0.0,74,4.0,1007.2,3,0
2024-10-10 13:30:00,31.8,22.2,57,1.2,120,8.3,1005.5,9,0
2024-10-10 14:30:00,31.6,22.3,58,0.2,118,11.2,1004.5,7,0
2024-10-10 15:30:00,28.5,23.4,74,1.6,139,13.3,1004.9,9,0
2024-10-10 16:30:00,27.0,23.3,80,3.2,144,9.0,1005.8,9,0
2024-10-10 17:30:00,25.5,23.2,87,1.5,214,6.5,1006.4,9,0
2024-10-10 18:30:00,25.0,23.2,90,3.4,163,5.4,1007.3,9,0
2024-10-10 19:30:00,23.7,22.9,95,5.0,20,9.4,1008.6,9,1
2024-10-10 20:30:00,24.0,23.3,96,1.9,86,8.3,1009.4,9,1
2024-10-10 21:30:00,24.1,23.4,96,1.2,96,7.2,1009.8,9,1
2024-10-10 22:30:00,23.9,23.4,97,0.7,126,6.8,1009.8,8,1
2024-10-10 23:30:00,23.9,23.2,96,0.1,132,6.8,1009.7,7,1
2024-10-11 00:30:00,23.7,23.2,97,0.0,118,10.1,1009.1,3,1
2024-10-11 01:30:00,23.4,23.1,98,0.0,101,6.8,1007.9,3,1
2024-10-11 02:30:00,23.3,23.0,98,0.0,132,4.3,1007.3,3,1
2024-10-11 03:30:00,23.1,22.8,98,0.0,135,2.9,1007.1,3,1
2024-10-11 04:30:00,23.3,23.0,98,0.0,103,4.7,1006.9,3,1
2024-10-11 05:30:00,23.2,22.9,98,0.0,128,3.2,1007.4,3,1
2024-10-11 06:30:00,23.4,23.1,98,0.0,158,4.7,1008.4,3,1
2024-10-11 07:30:00,24.4,23.4,94,0.0,103,3.2,1009.3,3,1
2024-10-11 08:30:00,26.0,23.1,84,0.0,280,5.0,1009.9,3,0
2024-10-11 09:30:00,28.1,22.1,70,0.0,214,4.3,1009.9,3,0
2024-10-11 10:30:00,29.4,21.9,64,0.0,134,6.5,1009.6,3,0
2024-10-11 11:30:00,30.1,22.0,62,0.0,118,6.1,1008.2,3,0
2024-10-11 12:30:00,30.3,22.5,63,0.3,130,13.7,1007.3,8,0
2024-10-11 13:30:00,27.4,23.6,80,2.0,139,15.1,1006.9,9,1
2024-10-11 14:30:00,28.2,23.8,77,0.2,101,11.9,1005.2,7,0
2024-10-11 15:30:00,29.0,23.7,73,0.0,134,9.0,1005.0,3,0
2024-10-11 16:30:00,27.6,23.4,78,0.6,104,11.2,1005.5,17,0
2024-10-11 17:30:00,26.5,23.4,83,0.3,111,9.0,1006.5,8,0
2024-10-11 18:30:00,24.6,23.7,95,8.1,147,7.2,1008.0,9,1
2024-10-11 19:30:00,25.0,23.8,93,0.1,128,6.8,1009.0,7,1
2024-10-11 20:30:00,24.6,23.7,95,1.0,204,6.8,1010.1,9,1
2024-10-11 21:30:00,24.2,23.3,95,0.8,19,6.8,1010.7,8,1
2024-10-11 22:30:00,24.1,23.2,95,1.3,316,4.0,1010.7,9,1
2024-10-11 23:30:00,23.8,23.0,95,0.5,351,5.4,1010.3,8,1
2024-10-12 00:30:00,23.6,23.3,98,0.6,352,9.0,1009.1,8,1
2024-10-12 01:30:00,23.8,23.3,97,0.8,208,6.8,1008.4,8,1
2024-10-12 02:30:00,23.8,23.1,96,2.0,20,5.8,1007.6,9,1
2024-10-12 03:30:00,23.8,23.1,96,0.2,166,2.2,1007.6,7,1
2024-10-12 04:30:00,23.8,23.1,96,0.5,59,3.2,1007.8,8,1
2024-10-12 05:30:00,23.9,23.2,96,0.2,221,2.9,1008.5,7,1
2024-10-12 06:30:00,24.0,23.1,95,0.3,319,4.7,1009.3,8,1
2024-10-12 07:30:00,24.6,23.2,92,0.0,255,8.3,1010.2,3,1
2024-10-12 08:30:00,25.8,23.1,85,0.0,284,8.6,1011.0,3,0
2024-10-12 09:30:00,27.0,22.8,78,0.0,296,7.6,1011.1,3,0
2024-10-12 10:30:00,28.6,23.1,72,0.0,290,10.1,1010.9,3,0
2024-10-12 11:30:00,29.0,23.2,71,0.2,282,9.0,1010.0,7,0
2024-10-12 12:30:00,29.5,23.7,71,0.2,301,8.3,1008.4,7,0
2024-10-12 13:30:00,30.0,23.7,69,0.1,305,6.5,1007.2,7,0
2024-10-12 14:30:00,28.6,23.5,74,2.8,350,6.8,1006.5,9,0
2024-10-12 15:30:00,27.3,23.5,80,0.6,126,4.3,1006.1,8,0
2024-10-12 16:30:00,27.1,23.6,81,0.0,100,7.6,1006.5,3,0
2024-10-12 17:30:00,26.8,23.7,83,0.0,116,6.1,1006.9,3,0
2024-10-12 18:30:00,25.7,23.7,89,0.2,171,5.0,1007.9,7,0
2024-10-12 19:30:00,24.9,23.5,92,1.4,204,7.2,1009.3,9,1
2024-10-12 20:30:00,23.9,23.2,96,3.2,130,9.4,1010.6,9,1
2024-10-12 21:30:00,23.7,23.0,96,1.3,136,8.6,1011.3,9,1
2024-10-12 22:30:00,23.6,23.3,98,0.8,102,7.2,1011.1,8,1
2024-10-12 23:30:00,23.4,23.1,98,0.4,91,11.2,1011.2,8,1
2024-10-13 00:30:00,23.3,22.6,96,0.2,112,6.8,1010.2,7,1
2024-10-13 01:30:00,23.4,22.7,96,0.1,123,6.1,1009.2,7,1
2024-10-13 02:30:00,23.1,22.4,96,3.4,136,5.4,1009.2,9,1
2024-10-13 03:30:00,23.0,22.5,97,3.1,113,6.5,1008.8,9,1
2024-10-13 04:30:00,22.8,22.3,97,0.2,76,4.0,1008.9,7,1
2024-10-13 05:30:00,22.9,22.4,97,0.5,189,4.3,1009.4,8,1
2024-10-13 06:30:00,23.4,22.9,97,0.5,124,4.0,1009.4,8,1
2024-10-13 07:30:00,24.2,23.2,94,0.0,147,3.2,1010.3,3,1
2024-10-13 08:30:00,25.3,23.2,88,0.0,257,2.5,1010.7,3,0
2024-10-13 09:30:00,27.0,23.0,79,0.1,332,4.0,1011.0,7,0
2024-10-13 10:30:00,28.0,23.4,76,0.4,269,4.0,1010.8,8,0
2024-10-13 11:30:00,29.5,23.5,70,0.0,346,3.6,1009.7,3,0
2024-10-13 12:30:00,29.6,22.8,67,0.0,104,4.7,1008.3,3,0
2024-10-13 13:30:00,29.1,23.1,70,0.5,179,8.3,1007.1,8,0
2024-10-13 14:30:00,29.3,23.7,72,0.1,217,9.4,1006.8,17,0
2024-10-13 15:30:00,28.4,23.1,73,0.6,210,7.2,1006.5,17,0
2024-10-13 16:30:00,27.6,23.2,77,0.0,147,5.4,1006.5,3,0
2024-10-13 17:30:00,26.7,23.6,83,1.1,107,9.0,1007.5,18,0
2024-10-13 18:30:00,25.4,23.8,91,0.4,128,6.8,1008.6,17,1
2024-10-13 19:30:00,24.5,23.5,94,12.5,206,8.6,1010.0,9,1
2024-10-13 20:30:00,24.7,23.5,93,0.8,212,6.1,1010.7,8,1
2024-10-13 21:30:00,24.6,23.6,94,0.3,232,4.0,1011.0,8,1
2024-10-13 22:30:00,24.2,23.5,96,0.2,105,4.3,1011.1,7,1
2024-10-13 23:30:00,23.6,23.3,98,0.0,30,2.9,1010.5,3,1
